,p_grid,p_solar,p_wind,p_computing_system,computing_system_info.mpm0,computing_system_info.mpm1,carbon_intensity,battery_soc,battery_min_soc
2020-06-12 00:46:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:47:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:48:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:49:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:50:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:51:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:52:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:53:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:54:00,19.4116352676608,0.0,29.205635267661002,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:55:00,17.746481404362324,0.0,27.540481404361532,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:56:00,17.746481404362324,0.0,27.540481404361532,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:57:00,17.746481404362324,0.0,27.540481404361532,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:58:00,17.746481404362324,0.0,27.540481404361532,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 00:59:00,17.746481404362324,0.0,27.540481404361532,-9.794,2.194,7.6,264.237241871768,1.0,0.6
2020-06-12 01:00:00,16.40534438114846,0.0,26.199344381148457,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:01:00,16.40534438114846,0.0,26.199344381148457,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:02:00,16.40534438114846,0.0,26.199344381148457,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:03:00,16.40534438114846,0.0,26.199344381148457,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:04:00,16.40534438114846,0.0,26.199344381148457,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:05:00,15.300876384509804,0.0,25.094876384510428,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:06:00,15.300876384509804,0.0,25.094876384510428,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:07:00,15.300876384509804,0.0,25.094876384510428,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:08:00,15.300876384509804,0.0,25.094876384510428,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:09:00,15.300876384509804,0.0,25.094876384510428,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:10:00,14.275304333041033,0.0,24.069304333041334,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:11:00,14.275304333041033,0.0,24.069304333041334,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:12:00,14.275304333041033,0.0,24.069304333041334,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
2020-06-12 01:13:00,14.275304333041033,0.0,24.069304333041334,-9.794,2.194,7.6,266.01957720588234,1.0,0.6
